input,label
حنا کھسرا  ,1
سچ کہتے ہیں کنجروں کی اپنی عزت تو ہوتی نہیں اور دوسروں کی اچھالتے رہتے ہیں حرام کی اولاد دنیا والوں کے لئیے عذاب ھے,1
یہ بھارتی دلہ امید لگا کے بیٹھا ہے کہ چوروں اور ڈاکووں کی حکومت آئے تاکہ اسکا حرام کا دھندا شروع ہوجائے,1
میرا اطلاعات کا وزیر کدہر ہے,0
چوتیا بنے نہیں ہیں,1
یہ ہماری پاک فوج کے متعلق کیا بکواس کررہا ہے ,0
 منافرت پھیلانے ،ھڈی پر نظر رکھنےّ،مرمٹنے،زلیل ھونے والا ،اپنی اوقات اور ذات دکھانے والا،دشمن,0
’غیر یقینی صورتحال معیشت کے لیے تباہ کن ہو سکتی ہے‘ ,0
 تب یہ مادرچود ایم کیو ایم میں تھا اور اپنا سیاسی چکلہ پی ایس پی نہیں کھولا تھا  ,1
میری آرایس کی جوتی آپ کا انتظار کررہی ہے,0
بھائی تیری ویڈیو کو پسند کیا مزۃ آگیا بھائی,0
 اور تیرے جیسے بے غیرت کو بھڑوا کہا جائے ۔۔۔ بہن چود شرم نہیں آتی چوروں کو ڈیفنڈ کرتے ہوئے ، بے حیا انسان  ,1
اگربھارت سےسفارتی تعلقات ختم کیےتھےتوبھارتی کنجروں کوویزےکس نےدیےاورکس نےان کنجروں کودعوت دی؟,1
 کسے دگڑ دلے دی اولاد اتنا بہادر ہے تو بہن نیب کے آگے پیش کرنے سے اچھا تھا خود اپنی پیش کرتا نیب کے سامنے,1
اوہ کسی کھوتی کے بچو بنا بنایا پاکستان تم کو دیا اور تم بیغرتوں نے اسکا برا حال کر دیا ۔۔,1
ہم مسلمان موت سے نہیں ڈرتے ہم اپنے حقوق اور اپنی انا کےلئے جان کی بازی لگاتے ہیں۔ انڈیا تیار رہو,0
بہت گندی کر دی یار تو نے اس گانڈو کی,1
تُم بیغیرتوں کی دوزخ میں رہو ,0
 گشتی تیرا کوئی تعلق اسلام سے دور دور تک بھگوڑی رن  دگڑ دلی حرام خور نانی اماں ڈرامے باز بھگوڑی مریم صفدر قطری کی عیاشی کا سامان  ,1
سب سے پہلی بات تو یہ ہے کہ وہ انفرادی طور پر قوم پرست ہونے کی دعویدار اگر ہے تو بکواس ہے۔ دوسری بات میں ایک قوم پرس… ,0
ارے مادرچود مرضی سے کون جاتا ہے جیل ,1
 اب کیا کرنے لگے ہیں مادرچود  ,1
