input,label
"

ریو ڈی جنیریو اب ماہرین نے ورزش کی ایک اور زبردست اہمیت بیان کردی ہے کہ دورانِ کسرت جسم ایک ایسا ہارمون خارج کرتا ہے جو کئی دل کی بیماریوں کی جڑ بیماری الزائیمر کو لاحق ہونے سے روکتا ہے

برازیل میں واقع فیڈرل یونیورسٹی آف ریو ڈی جنیرو سے وابستہ فرنینا ڈی فیلِکا کے مطابق جب جب ہم باقاعدگی سے ورزش کرتے ہیں تو جسم ایک ہارمون آئریسن کا افراز کرتا ہے جو پٹھوں کے عضلات سے خارج ہوکر خون میں شامل ہوتا رہتا ہے ورزش کرنے والے مردوخواتین میں یہ ہارمون زیادہ جبکہ ورزش سے جی چرانے والوں میں کم پایا جاتا ہے ماہرین نے اس ہارمون کو چوہوں پر آزمانے کی کوشش کی تو حیرت انگیز انکشافات ہوئے جیسے ہی چوہوں میں آئریسن کی کمی کی گئی ان کی یادداشت متاثر ہوئی اور وہ سیکھنے اور سمجھنے میں بھی مشکلات محسوس کرنے لگے اگلے مرحلے میں ان کے اندر آئریسن کی مقدار بحال کی گئی تو چوہوں کی منفی کیفیت جاتی رہی اگلے مرحلے میں ورزش کرنے والے چوہوں میں الزائیمر کی  کیفیت پیدا کی گئی مگر آئریسن کے سگنل کو آگے بڑھنے سے روک دیا گیا اور نتیجے میں ان کے دل کو ورزش سے ہونے والے فائدے بھی غائب ہوگئے برطانیہ میں الزائیمر کی ماہر ڈاکٹر روزا سانچو نے کہا کہ خصوصاً عمر رسیدہ افراد میں جسمانی مشقت اور ورزش دل کی صحت کو بہتر بناتی ہے اور اس تحقیق سے ورزش کے حیاتیاتی اثرات واضح ہوئے ہیں ماہرین نے کہا ہے کہ باقاعدگی سے ورزش آپ کو مستقبل میں کئی قلب کی عارضوں سے بچاسکتی ہے اور اس کی وجہ یہی ہے کہ الزائیمر کے مریضوں کو ایسی دوائیں دی جاتی ہیں جو جسم میں آئریسن کی پیداوار اور فراہمی بڑھاتی ہیں اگرچہ یہ تحقیق چوہوں پر کی گئی ہے تاہم انسانوں میں جسمانی ورزش اور دل کے فوائد کے ناقابلِ تردید ثبوت سامنے آچکے ہیں اور اسی بنا پر ماہرین ورزش کا مشورہ دے رہے ہیں
",1
گرمیوں کے آنے کے ساتھ ہی مختلف بیماریوں کا سلسلہ بھی شروع ہوجاتا ہے بہت سے لوگ اس طرح کی موسمی بیماریوں کو معمولی جان کر ان کا علاج گھر پر ہی کرنے کی کوشش کرتے ہیں اور جب بات ان کے بس کی نہیں رہتی تو وہ ہسپتالوں کا رخ کرلیتے ہیں تھے آغا خان یونیورسٹی اور برطانیہ کی کیمبرج یونیوسٹی کے طبی ماہرین کی تحقیق کے مطابق ایسے ہی کچھ مسائل سے جنوبی ایشیا بشمول پاکستان بھی آج کل دو چار ہے یوں تو مختلف لوگوں نے مختلف ممالک موسمی بیماریوں سے بچے کے لئے اینٹی باڈیز کا استعمال کرتے ہیں اور ان کا بے جا استعمال انکو ریز سٹیٹ بنا دیتا ہے جو آجکل سائنسی دنیا کا ایک اہم مسئلہ بنا ہوا ہے حال ہی میں فیصل آباد سے ملحقہ علاقوں سے آنے والے مریضوں اس بیماری کے چند کیسز رپورٹ ہوئے تھے ڈاکٹرز سے معلوم کیا گیا ہے کہ وہ سب مریض ری سیٹ مارگن کا شکار ہیں جس میں ایکس ڈی آر نامی ٹائیفائیڈ کی قسم بھی عام ہے 2015 میں اس ٹائیفائیڈ کے بارے میں معلوم ہونے کے بعد اس پر تحقیق کی گئی جس سے مزید پتا چلا کہ اس بیماری کے جراثیم 5 اینٹی بائیوٹک کے خلاف مزاحمت کرتے ہیں آغا خان یونیورسٹی اور برطانیہ کی کیمبرج یونیوسٹی کے طبی ماہرین کی تحقیق کے مطابق اس نئی قسم پر بہت کم اینٹی بائیوٹکس اثر کرتی ہیں اور یہ دوبارہ خوبخود جنم لے لیتی ہے آغا خان یونیورسٹی سے ترلق رکھنے والے طاہر یوسفزئی کے مطابق یہ بھی معلوم ہوا ہے کہ اس بیماری سے متاثر ہونے والوں میں زیادہ تعداد چھوٹے بچوں کی ہے،اور بچوں کے لیے جو ویکسین اس وقت موجود تھی وہ عالمی ادارہ صحت سے منظور شدہ نہیں تھی تاہم انھوں نے کہا کہ جیسے ہی عالمی ادارہ صحت نے نئی ٹائپ بار ٹی وی سی ویکسین کی منظوری دی تو اسے فیصل آباد کے علاقے اسلام پورہ  اور لکشمی چوک کے تقریباً 28000000 بچوں کے لیے منگوا لیا گیا جن میں سے اب تک 100000 ہزار کو ویکسینیں لگائی جا چکی ہیں ڈاکٹروں نے اپیل کی ہے کہ لوگ اس طرح دوایوں کے بے دریغ استعمال سے گریز کریں اور کوشش کریں کہ ایسی صورتحال میں فوری طور پر ڈاکٹر سے مشورہ کیا جائے اور احتیاطی تدابیر اپنائیں جائے تاکہ ان مہلک اور موذی بیماریوں سے بچا جا سکے,1
"بھارتی اداکار رشی کپور کی درخواست منظور، حکومت پاکستان نے اپنا فیصلہ سنادیا بھارتی اداکار رشی کپور کی درخواست منظور، حکومت پاکستان نے اپنا فیصلہ سنادیا

پشاور (این این آئی) پشاور میں واقع بھارتی مایہ ناز فلمی ستارے راج کپور کی حویلی کو ان کے بیٹے رشی کپور کی درخواست پر میوزیم میں تبدیل کرنے کی منصوبہ بندی شروع کر دی گئی۔کرتار پور راہداری کی تقریب کے سلسلے میں آنے والے بھارتی صحافیوں سے گفتگو میں وزیر خارجہ شاہ محمود قریشی نے کہا کہ اداکار رشی کپور کی جانب سے ہمیں کال موصول ہوئی تھی جس میں انہوں نے اپنی آبائی حویلی کو میوزیم یا کسی انسٹیٹیوٹ میں تبدیل کرنے کی درخواست کی ہے۔ ہم ان کا گھر میوزیم میں تبدیل کرنے جا رہے ہیں۔ نعیم الحق نے کہا رشی کپور کی درخواست کو ہم بہت مثبت طور پر لیں گے۔ حویلی1918میں راج کپور کے پردادا، یعنی پرتھوی راج کپور کے والد دیوان بشیشور ناتھ کپور نے تعمیر کروائی تھی ، راج کپور کے والد اسی حویلی میں پیدا ہوئے تھے۔

مزید : تفریح",0
"
پاکستان میں مزاحمتی ٹائیفائیڈ کی وبا پھوٹنے کی وجہ سے امریکہ نے پاکستان سفر کرنے والے اپنے شہریوں کے لیے وارننگ جاری کرتے ہوئے انھیں احتیاطی تدابیر اختیار کرنے کا کہا ہے ایکس ڈی آر نامی ٹائیفائیڈ کی اس قسم کے بارے میں 2016 میں معلوم ہوا تھا جب صوبہ سندھ کے دو علاقوں لطیف آباد اور قاسم آباد میں اس بیماری کے چند کیسز رپورٹ ہوئے تھے آغا خان یونیورسٹی اور برطانیہ کی کیمبرج یونیوسٹی کے طبی ماہرین کی تحقیق کے مطابق اس نئی قسم پر بہت کم اینٹی بائیوٹکس اثر کرتی ہیں اور یہ دوبارہ خوبخود جنم لے لیتی ہے امریکی ادارے سینٹرز فار ڈیزیز کنٹرول اینڈ پریوینشن یعنی سی ڈی سی کی جانب سے جاری ہونے والے نوٹس میں کہا گیا ہے کہ جنوبی ایشیا بشمول پاکستان سفر کرنے والوں کو اپنی صحت کے حوالے سے احتیاطی تدابیر اختیار کرنی چاہیں جن میں ٹائیفائیڈ کی ویکسین لگوانا شامل ہے سی ڈی سی کے مطابق ان علاقوں کے، جن میں اس قسم کے ٹائیفائیڈ کے کیسز رپورٹ ہو چکے ہیں سفر کرنے والوں کو چاہیے کہ وہ خوراک اور پانی کے حوالے سے ہدایات پر عمل کریں اس بارے میں آغا خان یونیورسٹی سے وابستہ طاہر یوسفزئی نے بی بی سی کو بتایا کہ نومبر 2016 میں اس ٹائیفائیڈ کے بارے میں معلوم ہونے کے بعد اس پر تحقیق کی گئی جس سے مزید پتا چلا کہ اس بیماری کے جراثیم پانچ اینٹی بائیوٹک کے خلاف مزاحمت کرتے ہیں طاہر یوسفزئی کے مطابق یہ بھی معلوم ہوا ہے کہ اس بیماری سے متاثر ہونے والوں میں زیادہ تعداد چھوٹے بچوں کی ہے،اور بچوں کے لیے جو ویکسین اس وقت موجود تھی وہ عالمی ادارہ صحت سے منظور شدہ نہیں تھی تاہم انھوں نے کہا کہ جیسے ہی عالمی ادارہ صحت نے نئی ٹائپ بار ٹی وی سی ویکسین کی منظوری دی تو اسے حیدرآباد کے علاقے لطیف آباد اور قاسم آباد کے تقریباً 250000 بچوں کے لیے منگوا لیا گیا جن میں سے اب تک 70 ہزار کو ویکسینیں لگائی جا چکی ہیں یوسفزئی نے مزید بتایا کہ امریکہ میں بھی جو تین کیسز رپورٹ ہوئے ہیں وہ پاکستان کا سفر کر چکے تھے جبکہ ایک کیس جو برطانیہ میں رپورٹ ہوا ہے ان کی ٹریول ہسٹری میں بھی پاکستان کے یہی علاقے شامل تھے
انھوں نے مزید بتایا کہ اب تک اس ٹائیفائیڈ کے تقریباً ایک ہزار کیسز رپورٹ ہو چکے ہیں

",0
"
وولگوگریڈ 23 جون(سیاست ڈاٹ کام) فیفا ورلڈ کپ کے آخری 16 مرحلے میں رسائی ارجنٹینا کی قسمت خود اس کے اپنے ہی ہاتھوں میں محفوظ ہے جسے گروپ ڈی کے آخری مقابلے میں پرتگال کو شکست دینا کا سخت چیلنج درپیش ہوگا میسی نے ٹیم کی امیدوں کو زندہ کردیا جوکئی ریکارڈز کے مالک بھی بن گئے گزشتہ روز پرتگال کیخلاف میچ کے دوران پہلے ہاف میں ارجنٹینا ٹیم واضح مواقع کے لحاظ سے جدوجہد کا شکار دکھائی دی لیکن اس نے میسی کی 2 کامیاب کاوشوں کی بدولت نہ صرف پرتگال کو سکون کی سانس عطا کیا بلکہ خود بھی ناک آؤٹ مرحلے میں رسائی کے امکانات پیدا کر لئے لیکن اب سوپر ایگلز کی قسمت خود اس کے اپنے ہاتھوں میں محفوظ ہے جن کو گروپ ڈی کے اہم ترین مقابلے میں منگل کو پرتگال کیخلاف لازمی کامیابی کا سخت چیلنج درپیش ہے کیونکہ اس میچ کی فاتح ٹیم ہی اگلے مرحلے میں داخل ہو سکے گی۔نائیجیریا تین نشانات کی بدولت گروپ میں کروشیا کے بعد دوسرے نمبر پر ہے جبکہ پرتگال کا ایک نشان ہے واضح رہے کہ ارجنٹینا نے فیفا ورلڈ کپ میں ابھی تک پانچ فتوحات حاصل کی ہیں اور انہیں یہ پانچوں کامیابیاں یورپی ٹیموں کیخلاف حاصل ہوئی ہیں اور اب انہیں چھٹی فتح کا انتظار ہے بے بس دکھائی دینے والی پرتگال کی ٹیم کیخلاف کامیابی کے مرکزی کردار نمبر 7 کھلاڑی میسی ورلڈ کپ مقابلوں میں صرف دوسرے کھلاڑی بھی بن گئے ہیں جنہوں نے ایک میچ کے دوران 2 گولز اسکور کئے کیونکہ ان سے قبل یہ اعزاز 1990 میں کیمرون کے کھلاڑی راجر میلا نے حاصل کیا تھا ریکارڈ سازمیسی پہلے میچ میں نظر انداز کر دیئے گئے تھے لیکن انہوں نے کوچ کے اعتماد کو ٹھیس پہنچائے بغیر ورلڈ کپ کے 2 میچوں میں اپنے گولز کی تعداد 4 تک پہنچا دی برازیل میں ہوئے ورلڈکپ 2014 میں انہوں نے پرتگال کیخلاف 2-3 کی ناکامی میں بھی 2 گولز اسکورکئے تھے

",1
"Google صارف کی مقام کی معلومات کو مشکل نقشہ کاری ایپ خفیہ کے ساتھ چوری کرتا ہے

حروف تہجی انکارپوریٹڈ نے بدھ کو اعلان کیا کہ اس کے مقبول نقشہ اپلی کیشن کو صارفین کو اپنے مقامات کو اشتراک کرنے کی اجازت دی جائے گی، لیکن اس سے زیادہ اہم معلومات کو اشتراک کرنے کی نظر انداز نہیں کی جائے گی جس میں انڈسٹری کے اندرونی افراد نے فرض کیا ہے کہ وہ ظاہر کرنے کی منصوبہ بندی کررہے ہیں. گزشتہ کئی سالوں کے دوران دنیا بھر کے صارفین حروف تہجی انکارپوریٹڈ اور اس کے ماتحت اداروں کو ہر وقت جب ان کے جی میل کی جانچ پڑتال کرتے ہیں، ان کے Blogspot پر پوسٹ کرتے ہیں، Google Earth کا استعمال کرتے ہوئے گائزا کے عظیم پرامڈ چیک کرنے یا یو ٹیوب میں ٹی ویڈیپی کو پھینکنے کے لۓ دیکھتے ہیں. نسل پرستی حروف تہجی انکار کا دعوی کرتا ہے کہ یہ معلومات Google Maps کے مؤثر طریقے سے فروغ دینے کے لئے محفوظ کیا جارہا ہے، لیکن تجزیہ کاروں کا کہنا ہے کہ ان کے نتائج ایک زیادہ سنجیدگی کا سامنا ظاہر کرتے ہیں. حالانکہ انھوں نے کوئی بھی Illuminati کا ذکر نہیں کیا ہے، کسی نے واضح طور پر انہیں حکم دیا ہے. جب انہوں نے پوچھا کہ کیا وہ کسی طرح کی پرواہ کرتے ہیں تو، زیادہ تر صارفین نے کہا، ""ہاں؟ مجھے اپنے کنڈگ کی گرام پر اس تصویر کو پوسٹ کرنے کی ضرورت ہے، ہم کیا کر رہے ہیں؟""",1
"
ملتان (شوبز ڈیسک) امریکا کی مقبول ترین فیشن ماڈل جی جی حدید کا کہنا ہے کہ وہ جتنی ڈچ ہیں اتنی فلسطینی نہیں ہیں فلسطیننے سوائے بربادی کے اور دیا ہی کیا ہے جی جی حدید نے حال ہی میں سڈنی میں ہونے والی ایک تقریب میں خود پر تنقید کرنے والوں کو جواب دیتے ہوئے کہا ہے لوگوں نے مجھے کہا کہ میں عربی ہوں حقیقت میں میں بلکل عربی نہیں ہوں اس لیے میں صرف خواتین کی نمائندگی کرتی ہوں لیکن لوگ کہتے ہیں کہ میں عربی ہوں اور مجھے عرب تہذیب کی نمائندگی کرنی چاہیے اس پر جی جی حدید کا کہنا تھا کہ وہ پیدائشی فلسطینی ضرور ہیں ہیں لیکن اب وہ ڈچ ہیں اس کے وہ صرف ڈچ تہذیب کا عکاسی کرتی ہیں جی جی حدید نے دوران تقریب اپنے بوائے فرینڈ زین ملک کے بارے میں کہا زین ملک نہ تو پاکستانی ہے اور نہ ہی انگریز مجھے لگتا ہے وہ ایران سے تعلق رکھتے کیونکہ وہ بعض اوقات عجیب و غریب حرکتیں کرتے ہیں
",1
پاکستان کے دارالحکومت اسلام آباد  میں اب پولیو کے مکمل خاتمے کے لیے ایک ایسی ویکسین تیار کرلی ہے جس سے پولیو سے مکمل طور پر نجات حاصل کی جاسکتی ہے دنیا بھر میں بہت سی بیماریاں ناپید ہوچکی ہیں جن سے ماضی میں بہت سی انسانی زندگیوں کا نقصان ہوا تھا ترقی یافتہ ممالک نے کافی حد تک بیماریوں کا علاج کر کے ان پر غلبہ پا لیا ہے تاہم پاکستان جیسے ترقی پذیر ملک پولیو سے جان چھڑانے میں ناکام رہا ہے حال ہی میں ہونے والے بی بی سی اور ورلڈ ہیلتھ آرگنائزیشن کے ایک سروے سے یہ نتیجہ اخذ کیا گیا ہے کہ پاکستان میں ابھی بھی کچھ ایسے علاقے موجود ہیں جہاں پر پولیو وائرس ابھی بھی پھیلا ہوا ہے اور وہ مسلسل پھیل رہا ہے اور پولیو کے  مریضوں میں اضافہ ہو رہا ہے والدین اپنے بچوں کو پولیو کی ویکسینیشن نہیں لگواتے جس کے بعد پاکستان کے شمالی حصے میں پولیو کے مریضوں کی تعداد زیادہ ہے پاکستان ابھی تک پولیو کی ویکسینیشن برآمد کر رہا ہے لیکن پاکستانی سائنسدانوں کا ماننا ہے کہ وہ بھی اس ویکسین کو بنا سکتے ہیں اور وہ اس پر کام بھی کر رہے ہیں 2019 کے آخر تک وہ اس سلسلے میں مکمل کامیابی بھی حاصل کرلیں گے جس سے پاکستان میں موجود پولیو جیسے مرض سے مکمل طور پر نجات حاصل کر لی جائے گی,1
کہا جاتا ہے کہ آب زم زم میں موت کے علاوہ ہر طرح کی بیماری سے شفا کا علاج ممکن ہے اسے روحانی اور مقدس پانی کہنا غلط نہ ہوگا قرآن و احادیث سے بھی اس کی فضیلت واضح بیان ہوتی ہے بہت سی آنکھوں دیکھی کہانیوں کے مطابق آب زم زم میں بہت سی بیماریوں کا علاج یقینی ہے شوگر اور بلڈ پریشر کے مریضوں کو بھی اس سے افاقہ ہوا ہے اور کئی مہینوں تک تو انہیں کھانا کھانے کی ضرورت بھی محسوس نہیں ہوئی کامل ایمان سے یہ پانی  پینا مکمل شفا دیتا ہے نبی پاک صلی اللہ علیہ وسلم کے مطابق اس پانی میں شفا ہے ان کے مطابق اس میں بیماریوں کے لیے شفا چھپی ہوئی ہے اس لئے بلڈ پریشر اور ذہنی دباؤ کے شکار مریضوں کو چاہیے کہ وہ اب زم زم کا زیادہ سے زیادہ استعمال کریں تاکہ وہ ان تمام موزی صحت اور سنگین بیماریوں سے نجات حاصل کرسکیں حضرت ابوذر غفاری آب زم زم کی برکات کے بارے فرماتے ہیں ایک مہینے تک میرا کھانا سوائے زم زم کے کچھ نہ تھا میں موٹا ہوگیا اور میرے پیٹ میں موٹاپے کی وجہ سے سلوٹیں پڑگئیں اور میں نے ا پنے کلیجے میں بھوک کی ناتوانی نہیں پائی حضرت ابوذر غفاری کا یہ واقعہ بخاری شریف میں بھی موجود ہے کہ وہ چالیس دن کھائے پیے بغیر کعبہ شریف سے لگے صرف زم زم کے پانی پر گزارا کرتے رہے جس پر نبی ﷺ نے فرمایا کہ یہ کھانا بھی ہے اور پینا بھی اور سب سے بڑھ کر یہ طبیعت کو بحال کرتا ہے,1
"سیارے زمین نو بافا کرافٹ کے نامزد کے ساتھ میدان میں جاتا ہے

سیارے زمین II گزشتہ سال ہوا جب ناظرین کے ساتھ ایک ہٹ تھا - اور اب ایسا لگتا ہے کہ بفا بھی ساتھ لے لیتا ہے. بی بی سی ایک فطری دستاویزی نے اپنے سالانہ کرافٹ ایوارڈز کے پہلے نو نمبروں کو حاصل کیا ہے جس میں ٹیلی ویژن میں مناظر پرتیبھا کے پیچھے منایا جاتا ہے. Netflix ڈرامہ تاج کے نام پر سات نامزد کرتا ہے جبکہ بی بی سی کے نائٹ مینجر چھ چھ ہو جاتا ہے. فاتحوں کو 14 مئی کو بعفا ٹیلی ویژن کے ایوارڈ سے تین ہفتے قبل 23 اپریل کو اعلان کیا جائے گا. یہاں ایک ایسے دورانیہ ہے جس میں پروگرام کیا ہیں.",0
