context,question,answer
خلافت راشدہ کے چوتھے خلیفہ اور اہل تشیع کے پہلے امام علی بن ابی طالب پر خارجی ابن ملجم نے 26 جنوری 661ء بمطابق 19 رمضان، 40ھ کو کوفہ کی مسجد میں زہر آلود تلوار کے ذریعہ نماز کے دوران میں قاتلانہ حملہ کیا۔ اس حملہ کی وجہ سے علی زخمی ہوئے، اگلے دو دن تک آپ زندہ رہے لیکن زخم گہرا تھا، چنانچہ جانبر نہ ہو سکے اور 21 رمضان 40ھ کو وفات پائی۔ آپ تیسرے خلیفہ تھے جن کو خلافت کے دوران میں قتل کیا گیا، آپ سے پہلے عمر بن خطاب اور عثمان بن عفان کو قتل کیا جا چکا تھا۔,خلافت راشدہ کے چوتھے خلیفہ کون تھے؟ ,"['امام علی بن ابی طالب', 'حضرت علی رضي الله عنه', 'حضرت علی']"
خلافت راشدہ کے چوتھے خلیفہ اور اہل تشیع کے پہلے امام علی بن ابی طالب پر خارجی ابن ملجم نے 26 جنوری 661ء بمطابق 19 رمضان، 40ھ کو کوفہ کی مسجد میں زہر آلود تلوار کے ذریعہ نماز کے دوران میں قاتلانہ حملہ کیا۔ اس حملہ کی وجہ سے علی زخمی ہوئے، اگلے دو دن تک آپ زندہ رہے لیکن زخم گہرا تھا، چنانچہ جانبر نہ ہو سکے اور 21 رمضان 40ھ کو وفات پائی۔ آپ تیسرے خلیفہ تھے جن کو خلافت کے دوران میں قتل کیا گیا، آپ سے پہلے عمر بن خطاب اور عثمان بن عفان کو قتل کیا جا چکا تھا۔,اہل تشیع کے پہلے امام کون تھے؟ ,"['امام علی بن ابی طالب', 'حضرت علی رضي الله عنه', 'حضرت علی']"
خلافت راشدہ کے چوتھے خلیفہ اور اہل تشیع کے پہلے امام علی بن ابی طالب پر خارجی ابن ملجم نے 26 جنوری 661ء بمطابق 19 رمضان، 40ھ کو کوفہ کی مسجد میں زہر آلود تلوار کے ذریعہ نماز کے دوران میں قاتلانہ حملہ کیا۔ اس حملہ کی وجہ سے علی زخمی ہوئے، اگلے دو دن تک آپ زندہ رہے لیکن زخم گہرا تھا، چنانچہ جانبر نہ ہو سکے اور 21 رمضان 40ھ کو وفات پائی۔ آپ تیسرے خلیفہ تھے جن کو خلافت کے دوران میں قتل کیا گیا، آپ سے پہلے عمر بن خطاب اور عثمان بن عفان کو قتل کیا جا چکا تھا۔,حضرت علی پر نماز کے دوران قاتلانہ حملہ کس نے کیا۔  ,"['خارجی ابن ملجم', 'خارجی ابن ملجم', 'خارجی ابن ملجم']"
خلافت راشدہ کے چوتھے خلیفہ اور اہل تشیع کے پہلے امام علی بن ابی طالب پر خارجی ابن ملجم نے 26 جنوری 661ء بمطابق 19 رمضان، 40ھ کو کوفہ کی مسجد میں زہر آلود تلوار کے ذریعہ نماز کے دوران میں قاتلانہ حملہ کیا۔ اس حملہ کی وجہ سے علی زخمی ہوئے، اگلے دو دن تک آپ زندہ رہے لیکن زخم گہرا تھا، چنانچہ جانبر نہ ہو سکے اور 21 رمضان 40ھ کو وفات پائی۔ آپ تیسرے خلیفہ تھے جن کو خلافت کے دوران میں قتل کیا گیا، آپ سے پہلے عمر بن خطاب اور عثمان بن عفان کو قتل کیا جا چکا تھا۔,حضرت علی پر کس مسجد میں قاتلانہ حملہ ہوا؟ ,"['کوفہ', 'کوفہ', 'کوفہ']"
خلافت راشدہ کے چوتھے خلیفہ اور اہل تشیع کے پہلے امام علی بن ابی طالب پر خارجی ابن ملجم نے 26 جنوری 661ء بمطابق 19 رمضان، 40ھ کو کوفہ کی مسجد میں زہر آلود تلوار کے ذریعہ نماز کے دوران میں قاتلانہ حملہ کیا۔ اس حملہ کی وجہ سے علی زخمی ہوئے، اگلے دو دن تک آپ زندہ رہے لیکن زخم گہرا تھا، چنانچہ جانبر نہ ہو سکے اور 21 رمضان 40ھ کو وفات پائی۔ آپ تیسرے خلیفہ تھے جن کو خلافت کے دوران میں قتل کیا گیا، آپ سے پہلے عمر بن خطاب اور عثمان بن عفان کو قتل کیا جا چکا تھا۔,حضرت علی نے کب وفات پائی؟,"['21 رمضان 40ھ', '٢٨ جنوری ٦٦١ ', '٢٨ جنوری ٦٦١ ']"
خلافت راشدہ کے چوتھے خلیفہ اور اہل تشیع کے پہلے امام علی بن ابی طالب پر خارجی ابن ملجم نے 26 جنوری 661ء بمطابق 19 رمضان، 40ھ کو کوفہ کی مسجد میں زہر آلود تلوار کے ذریعہ نماز کے دوران میں قاتلانہ حملہ کیا۔ اس حملہ کی وجہ سے علی زخمی ہوئے، اگلے دو دن تک آپ زندہ رہے لیکن زخم گہرا تھا، چنانچہ جانبر نہ ہو سکے اور 21 رمضان 40ھ کو وفات پائی۔ آپ تیسرے خلیفہ تھے جن کو خلافت کے دوران میں قتل کیا گیا، آپ سے پہلے عمر بن خطاب اور عثمان بن عفان کو قتل کیا جا چکا تھا۔,حضرت علی سے پہلے کتنے خلیفہ دوران خلافت قتل ہوہے ہیں ؟,"['2', '2', '2']"
خلافت راشدہ کے چوتھے خلیفہ اور اہل تشیع کے پہلے امام علی بن ابی طالب پر خارجی ابن ملجم نے 26 جنوری 661ء بمطابق 19 رمضان، 40ھ کو کوفہ کی مسجد میں زہر آلود تلوار کے ذریعہ نماز کے دوران میں قاتلانہ حملہ کیا۔ اس حملہ کی وجہ سے علی زخمی ہوئے، اگلے دو دن تک آپ زندہ رہے لیکن زخم گہرا تھا، چنانچہ جانبر نہ ہو سکے اور 21 رمضان 40ھ کو وفات پائی۔ آپ تیسرے خلیفہ تھے جن کو خلافت کے دوران میں قتل کیا گیا، آپ سے پہلے عمر بن خطاب اور عثمان بن عفان کو قتل کیا جا چکا تھا۔,حضرت علی سے پہلے کون سے خلیفہ دوران خلافت قتل ہوہے ہیں ؟,"['عمر بن خطاب', 'عثمان بن عفان', 'عثمان بن عفان']"
علی بن ابی طالب 656ء میں قتل عثمان کے بعد خلیفہ بنے تھے۔ تاہم انھیں معاویہ بن ابو سفیان اور دیگر افراد کی جانب سے مخالفت کا سامنا کرنا پڑا۔ اور نتیجتاً اسلام میں پہلی خانہ جنگی ہوئی۔ اسے پہلا فتنہ بھی کہا جاتا ہے، اس کے بعد اسلامی خلافت دو حصوں میں بٹ گئی اور یوں خلافت راشدہ کے ساتھ خلافت امویہ کا آغاز ہوا۔ پہلے فتنے کا آغاز تیسرے خلیفہ راشد عثمان بن عفان کے 656ء میں قتل سے ہوا جو علی بن ابی طالب کے چار سالہ دور خلافت تک جاری رہا۔ ,علی بن ابی طالب کس سال خلیفہ بنے تھے۔ ,"['656ء', '656ء', '656ء']"
علی بن ابی طالب 656ء میں قتل عثمان کے بعد خلیفہ بنے تھے۔ تاہم انھیں معاویہ بن ابو سفیان اور دیگر افراد کی جانب سے مخالفت کا سامنا کرنا پڑا۔ اور نتیجتاً اسلام میں پہلی خانہ جنگی ہوئی۔ اسے پہلا فتنہ بھی کہا جاتا ہے، اس کے بعد اسلامی خلافت دو حصوں میں بٹ گئی اور یوں خلافت راشدہ کے ساتھ خلافت امویہ کا آغاز ہوا۔ پہلے فتنے کا آغاز تیسرے خلیفہ راشد عثمان بن عفان کے 656ء میں قتل سے ہوا جو علی بن ابی طالب کے چار سالہ دور خلافت تک جاری رہا۔ ,علی بن ابی طالب سے پہلے خلیفہ کا نام کیا ہے؟,"['عثمان', 'حضرت عثمان', 'حضرت عثمان رضي الله عنه']"
علی بن ابی طالب 656ء میں قتل عثمان کے بعد خلیفہ بنے تھے۔ تاہم انھیں معاویہ بن ابو سفیان اور دیگر افراد کی جانب سے مخالفت کا سامنا کرنا پڑا۔ اور نتیجتاً اسلام میں پہلی خانہ جنگی ہوئی۔ اسے پہلا فتنہ بھی کہا جاتا ہے، اس کے بعد اسلامی خلافت دو حصوں میں بٹ گئی اور یوں خلافت راشدہ کے ساتھ خلافت امویہ کا آغاز ہوا۔ پہلے فتنے کا آغاز تیسرے خلیفہ راشد عثمان بن عفان کے 656ء میں قتل سے ہوا جو علی بن ابی طالب کے چار سالہ دور خلافت تک جاری رہا۔ ,اسلام میں پہلی خانہ جنگی کس کے دور میں ہوئی۔,"['امام علی بن ابی طالب', 'حضرت علی رضي الله عنه', 'حضرت علی']"
