input,label
چوہدریوں کی بھی اقسام ہوتے؛اگرکوئی سمجھتاہےکہ جاری ادایئگیوں کےتوازن تجارت کاخسارہ اورجہازی حجم کاغیرملکی جیسےمسائل چائےکی پیالیوں بسکٹ کی بچت سےدرست کئےجاسکتےہیں توایک مقامی ضرب المثل کےمطابق مردےکی مونچھیں مونڈے سےجنازےکابوجھ کم نہیں ہوتا 🙏نوٹ آپ سےگزارش ہمیں بھی فالوکریں,0
دنیا سے اکتوبر میں پیدا ہونے والے لوگ 😍 نکال دیے جائیں تو یہ دنیا سنسان ہوجائے ❤ 😁,1
 زرتاج لودھی نے مُجھے بلاک کیا ہوا ہے..سوچیں میں نے کیسی طبیعت صاف کی ہوگی🙉😆,1
یقیناً فوج کے شعبہُ تفریحات کا کیپٹن ہوگا یہ😂😂,0
 ماں تیری یاد بہت آتی ہے ـــــــــــــــــ🌹 ـــــــــــــــــ میں چھوٹی سی اک بچی تھی تیری انگلی تھام کے چلتی تھی تو دور نظر…,0
بڑے ایوان میں ہم نے ُسنا یہی تھا خبر نہ تھی کہ راہ میں ایک یو ٹرن تھا نجانے کیوں ہم بے ربط بول بیٹھے زبان لڑکھڑائی یا میری دوائی کا اثر تھا ایسے میں سہانے خواب میں دیکھتا ہوں میں کب غلط ہوں بس یہی تو کہتا ہوں بس میں اکثر دوائی کا پیمانہ تو بدلتا ہوں 🙈🙈🙈🙈🙈🙈,1
نا جی نہیں ہوتی تو کتنا سکون ہوتا ٹوٹر پہ 😂🙊,0
@Baig25239209 @iqrarulhassan بھائی میں نے پڑھا ہے کیا اب ہمیں طنز و مزاح کو سمجھنے کیلئے بھی پی ایچ ڈی کی ڈگری حاصل کرنی پڑے گی جناب کا مقصد تو یہ ہی تھا,1
کامران خان ایسے لیکچر دے رھے ہیں جسطرح سٹوڈنس کو کلاس میں پڑھا رھے ھوں اور گویا عمران خان کو ٹیوشن پڑھا رھے ھیں 😀😃😄😁😆😅🤣😂😂,1
سندھ پولیس کی عزت میری عزت ہے، سندھ پولیس کی بے عزتی میری بے عزتی ہے چیئرمین بلاول بھٹو زرداری❤ زندہ پولیس زندہ ❤❤💪,0
 باجوہ صاحب نے کرنل کی بیوی کا بھی نوٹس لیا تھا۔۔ 😂😂,1
کچھ مردو میں کیڑا ہوتا ھے ہر لڑکی کو دل دینے کا 😄😄😄ا,0
کرنانی پہلے پتہ کر لیا کرو خبر صحیح ہے کہ پٹواریوں کی طرح جعلی 😹😹😹,1
"ایم ایم عالم کے جھاز کے بعد جھانگیر ترین کا جہاز ہمیشہ یاد رکھا جائے گا۔۔

#Sarcasm",1
میں شرمندہ ہوں 😔,0
ہم سعودی عرب سے اس لیے محبت رکھتے ہیں یہ مقدس سرزمین ہے اور رہی بات سعودی حکمرانوں کی ہمیں بلیک میل کرنے سے کچھ فرق نہیں پڑے گا تم لوگوں کا ذہن عجمی اور عربی سے نکلا نہیں انشاللہ اپ نے اپنی بربادی اپنے ہاتھ سے لکھ لی ہے ☺ TurkeyIsNotAlone Ummah,0
 دوسروں کی بیویاں دیکھ کر جلنے سے بہتر یے اپنی بیویوں پر خرچہ کریں انہیں پارلر لے کر جائیں🙊🙊🤣 مارخورز,1
ن۔لیگ حکومت کرنٹ اکاؤنٹ خسارہ 24 ارب ڈالر تحریک انصاف حکومت خسارہ ختم کر کے 792 ملین ڈالر کا منافع شروع ✌️🇵🇰,1
 ایک گندے انڈے کی وجہ سے اچھے بھلے انڈے بھی دو سو روپے درجن ہو گئے😂😂😂,1
بلاول بھٹو کا کوئٹہ جلسے میں شرکت سے انکار اے پیا جے انقلاب 😂,1
فوج کے پاس ہے تیرے باقی کے کپڑے 😝😝,1
کتھوں😂,0
بزدار کے ہوتے ہوئے تو بہت پہلے مار لینی چاہئے تھی۔😂,1
