text,summary
ان ناقدین کے مطابق اس طرح کی کھلی بیان بازی سے پاکستان کے لیے ممکنہ طور پر پیچیدگیاں پیدا ہو سکتی ہیں۔ وزیر اعظم عمران خان نے ایک چینی ٹی وی کو دیے گئے انٹرویو میں کہا تھا کہ اسلام آباد پر دباؤ ہے کہ وہ اپنے لیے چین اور مغرب میں سے کسی ایک کا انتخاب کر لے۔ ان کے بقول ساتھ ہی پاکستان پر یہ دباؤ بھی ہے کہ وہ چین کے حوالے سے اپنی پالیسی بدلے۔ انہوں نے ڈی ڈبلیو کو بتایا، ''امریکا کی ایک سامراجی انا ہے، جو اس طرح کے بیانات سے مجروح ہوتی ہے۔ عمران خان کئی معاملات میں ہوم ورک نہیں کرتے اور بغیر تیاری کے ہی مختلف امور پر رائے دینے لگتے ہیں۔ تاہم سفارتی معاملات میں بہت سی پیچیدگیا ں ہوتی ہیں اور بات یوں نہیں کی جاتی بلکہ دفتر خارجہ یا کسی اور ذریعے سے ایسی باتیں کی جاتی ہیں اور ان کا بھی ایک طریقہ ہوتا ہے۔‘‘ انہوں نے کہا، ''امریکا کی طرف تو ہم بالکل نہیں جا سکتے کیونکہ اس نے نہ ماضی میں اور نہ گزشتہ بیس برسوں میں ہمارا ساتھ دیا ہے۔ صرف زبانی جمع خرچ ہی کیا۔ پاکستان کو غیر نیٹو اتحادی قرار دیا لیکن جوہری ڈیل بھارت سے کی۔ اب وہ ہمیں چین کے خلاف کرنا چاہتا ہے اور ہم یہی بات واضح بھی کر چکے ہیں، جس کا نتیجہ آئی ایم ایف اور دوسرے مالیاتی اداروں کے ذریعے ہم پر دباؤ کی صورت میں نکلے گا۔'',پاکستانی وزیر اعظم عمران خان کی طرف سے امریکی اور مغربی دباؤ کے تذکرے پر ملک میں خوب تبصرے ہو رہے ہیں۔ چند ناقدین کے خیال میں وزیر اعظم کو کھل کر اس طرح کا کوئی بیان نہیں دینا چاہیے تھا۔
 ایک معروف پاکستانی مذہبی ٹی وی شو کے 41 سالہ متنازعہ میزبان عامر لیاقت حسین نے اپنے حالیہ پروگرام میں ایک نومولود لاوارث بچی ایک جوڑے کے حوالے کی۔ اس پروگرام میں اسلام کے حوالے سے آسان سوالات کے جوابات دینے پر مختلف انعامات دیے جاتے ہیں۔ تاہم ناقدین کا کہنا ہے کہ نومولود بچوں کی ٹی وی پروگرام میں کسی جوڑے کو گود دینے سے ایسے بچے کو زندگی بھر مختلف سوالات کا سامنا رہتا ہے۔  جنسی مساوات اور انسانی حقوق کے حوالے سے کام کرنے والی سرگرم پاکستانی کارکن رخشندہ پروین نے جرمن خبر رساں ادارے ڈی پی اے سے بات چیت میں کہا، ’مجھے اس بات کے حوالے سے اخلاقی بنیادوں پر اعتراض نہیں، کیوں کہ شاید یہ ایک اچھا عمل ہے کہ کوڑے کے ڈھیر پر پھینک دیے جانے والے کسی بچے کو ایک محفوظ گھر مل پائے، مگر اعتراض اس طریقہ کار پر ہےکیوں کہ یہ ایسا صرف پروگرام کی تشہیر کے لیے کیا جا رہا ہے۔‘  پاکستانی میں رفاع عامہ کے لیے کام کرنے والی معروف اور سرگرم تنظیم ایدھی فاؤنڈیشن کے ترجمان انور کاظمی نے بھی اس شو پر تنقید کی ہے۔ ایدھی فاؤنڈیشن پاکستان میں لاوارث بچوں کو تحفظ فراہم کرنے والی سب سے بڑی تظیم ہے۔ انور کاظمی کے بقول، ’یہ ایک انتہائی غیراخلاقی حرکت ہے کہ کسی بچے کو میڈیا پر کسی جوڑے کے حوالے کیا جایا۔ اس سے ہر شخص کو معلوم ہو جاتا ہے کہ کس نے بچہ گود لیا اور یہ کہ شاید یہ بچہ ’’ناجائز‘‘ تھا۔‘,پاکستان میں ماہ رمضان کی مناسبت سے ایک ٹی وی شو میں ایک نومولود لاوارث بچے کو ایک جوڑے کے حوالے کرنے پر ایک نئی بحث چھڑ گئی ہے۔ عام رائے یہی ہے کہ چینلز اپنی ریٹنگ بڑھانے کے لیے انسانیت کے احترام کا کوئی خیال نہیں رکھتے۔
چین کے لیے یہ دو طرفہ شاہراہ دونوں ممالک کے درمیان پھلتی پھولتی شراکت داری کی علامت ہے، جس میں اربوں ڈالر کی سرمایہ کاری کی گئی ہے۔ تاہم چین کے سرحدی علاقوں میں رہائش پذیر بعض تاجروں کا موقف ہے کہ اس شاہراہ کی تعمیر محض چین کے مفاد میں کی گئی ہے۔ شاہراہ قراقرم کے قریب چینی صوبہ سنکیانگ کے شہر تاشکرگن میں کاروبار کرنے والے پاکستانی تاجر مراد شاہ نے خبر رساں ادارے اے ایف پی کو بتایا، ’’چین کہتا ہے کہ ہماری دوستی ہمالیہ سے بلند اور سمندر سے زیادہ گہری ہے۔ لیکن وہ دل سے ایسا نہیں سمجھتا۔ سی پیک منصوبوں میں پاکستان کو کوئی فائدہ نہیں۔ اس سے صرف چین کی اپنی اقتصادی نشو و نما ہو گی۔‘‘ چین کے مغربی شہر کاشغر سے پاکستان میں گوادر کی بندرگاہ تک تعمیر ہونے والی شاہراہ چین اور پاکستان کے درمیان اربوں ڈالر کے ’ون بیلٹ ون روڈ پروجیکٹ‘ کا ایک اہم منصوبہ ہے۔ اس منصوبے میں پرانی سلک روڈ کی بحالی اور چینی کمپنیوں کو پوری دنیا میں نئی کمپنیوں سے جوڑنا شامل ہے۔ دونوں ممالک کا کہنا ہے کہ سی پیک  پاکستان اور چین دونوں کے لیے یکساں طور پر فائدہ مند ہے تاہم اعداد و شمار ذرا مختلف کہانی بتاتے ہیں۔ پاکستان کی چین کو برآمدات سن 2016 کے نصف تک آٹھ فیصد کم ہو چکی تھیں جبکہ درآمدات میں انتیس فیصد اضافہ ہو گیا تھا۔ سنکیانگ میں پاکستانی کاروباری افراد سی پیک سے پاکستان کو کچھ زیادہ حاصل ہوتا نہیں دیکھتے۔ ان پاکستانی تاجروں کو چین میں سلامتی کے نظام اور پل پل بدلتے کسٹمز انتظامات سے بھی شکایت ہے۔,چینی شہر کاشغر اور گوادر کے درمیان سی پیک کے تحت بننے والی تیرہ سو کلومیٹر طویل شاہراہ دونوں ممالک کے مطابق مشترکہ طور پر فائدہ مند ہے۔ تاہم بعض پاکستانی تاجروں کے نزدیک اس سے اقتصادی فوائد صرف چین کو حاصل ہوں گے۔
امریکی قانون دانوں نے ایک نیا بل منظور کیا ہے ۔ جس کے تحت عراق اور افغانستان جاری فوجی کاروائیوں کے لئے مذید ایک سو نواسی ارب ڈالر کی رقم فراہم کی جائے گی۔ منگل کے روز امریکی سینٹ نے رقم کی فراہمی کے حوالے سے بل میں کچھ تبدیلیاں کی تھیں۔ جس پر بدھ کے روز ایوان نمائندگان میں ووٹنگ ہوئی ۔ اس بل کے حق میں 272 اور مخالفت میں 142ووٹ پڑے ۔ اب صدر بش کے دستخط کے بعد یہ بل ، قانون کی صورت اختیار کر لے گا۔ اس بارے میں صدر بش پہلے ہی کہ چکے ہیں کہ اگر ایوان نمائندگان نے بل کے حق میں ووٹ ڈالے تو وہ اس پیکج پر دستخط کر دیں گے۔ امریکی سینٹ کے ترمیم کرنے سے پہلے اس بل میں جو رقم منظور کی گئی تھی وہ صرف افغانستان کے لئے تھی۔ دوسری طرف ڈیموکریٹس کا یہ دیرینہ مطالبہ تھاکہ عراق سے امریکی افواج کی واپسی کے حوالے سے ایک میعاد الاوقات یہ مقرر کیا جائے لیکن موجودہ بل کسی ایسے شرط کے بغیر منظور کیا گیا ہے۔ حکمران جماعت ریپبلکن نے سینٹ مین اس بل کی منظوری پر خوشی کا اظہار کیا ہے۔ اسی جماعت سے تعلق رکھنے والے سینیٹر Mitch Mcconnel ، جنہوں نے اس بل میں ترامیم کی تھیں کہا کہ ہماری پوری کوشش ہے کہ عراق اور افغانستان میں موجود دستوں کے وسائل کو پورا کیا جائے۔ اور اس حوالے سے ہم انہیں اکیلا نہیں چھوڑ سکتے۔ امریکا کے عوام کی بڑی تعداد ابھی بھی عراق جنگ کی مخالفت کر رہی ہے۔ اور صدر بش سے فوج کو واپس بلانے کا مطالبہ بھی کرتی رہتی ہے۔,امریکی ایوان نمائندگان نے عراق اور افغانستان میں جاری جنگوں کے لئے ایک سو نواسی ارب ڈالر کی منظوری دے دی۔
 سعودی پریس ایجنسی نے شاہی فرمان جاری کرتے ہوئے شہزادہ سلطان کے انتقال کی تصدیق کی ہے۔ شاہ عبد اللہ کی جانب سے جاری کردہ فرمان میں کہا گیا ہے، ’’خادم حرمین شریفین شاہ عبد اللہ اپنے بھائی اور ولی عہد شہزادہ سلطان کی موت پر انتہائی غمگین اور رنجیدہ ہیں، وہ سلطنت سے باہر ناسازی طبعیت کے سبب انتقال کر گئے ہیں۔‘‘ سعودی عرب کے سرکاری ٹیلی وژن پر معمول کی نشریات روک کر قرآن کی تلاوت اور مقدس مقامات کے مناظر دکھائے جا رہے ہیں۔ سعودی خبر رساں ادارے کے مطابق شہزادہ سلطان کی آخری مذہبی رسومات منگل کو دارالحکومت ریاض میں ادا کی جائیں گی۔  سعودی شاہ عبد اللہ کی صحت بھی ڈھلتی عمر کے ساتھ تنزلی کی جانب گامزن ہے۔ شاہ عبد اللہ گزشتہ سال تین ماہ تک علاج معالجے کے سبب منظر عام پر نہیں آئے تھے۔ اس دوران ان کے کمر کا آپریشن ہوا اور اب ان کی صحت قدرے بہتر بتائی جا رہی ہے۔ غالب امکان ہے کہ اب وزیر داخلہ شہزادہ نائف کو ولی عہد مقرر کر دیا جائے گا۔ شہزادہ نائف کے متعلق کہا جاتا ہے کہ وہ شاہ عبد اللہ اور مرحوم شہزادہ سلطان کے مقابلے میں زیادہ قدامت پسند ہیں۔,سعودی عرب کے ولی عہد شہزادہ سلطان بن عبد العزیز السعود ناسازی طبعیت کے باعث انتقال کر گئے ہیں۔ 86 سالہ شہزادہ سلطان سعودی عرب میں دفاع اور ہوا بازی کے وزیر بھی تھے۔
 گلوبل ایچ واچ انڈیکس کے مطابق ناروے بوڑھے افراد کے لیے ہر لحاظ سے بہترین جگہ ہے۔ یہ فہرست ہیلپ ایچ نامی ایک بین الاقوامی ادارہ تیار کرتا ہے۔ اس ادارے کے مطابق اگر کسی ملک میں اقتصادی ترقی ہو رہی ہے تو اس کا مطلب یہ نہیں ہے کہ وہاں کے بوڑھے افراد کی زندگیاں بھی اچھے انداز میں گزر رہی ہیں، ’’ اس سلسلے میں خاص منصوبہ بندی اور اس پر عمل درآمد کی ضرورت ہوتی ہے۔‘‘ یہ انڈیکس چار مختلف شعبوں مالی ضمانت، طبی سہولیات، امکانات اور ماحول کو نظر میں رکھتے ہوئے تیار کیا جاتا ہے اور ان چاروں شعبوں میں بہتر کارکردگی دکھانے والے ملکوں کو ہی فوقیت دی جاتی ہے۔ ہیلپ ایج کے مطابق کچھ ممالک کسی ایک ہی شعبے میں بہت بہتر ہوتے ہیں۔ مثال کے طور پر جاپان طبی سہولیات کے حوالے سے بوڑھے افراد کے لیے بہترین ہے اور اسی طرح سوئٹزرلینڈ بوڑھے افراد کو سب سے اچھی آب و ہوا مہیا کرتا ہے۔  اس انڈیکس کے مطابق افغانستان اس حوالے سے تیار کی جانے والی فہرست میں آخری مقام پر ہے۔ اس ملک میں عمر رسیدہ افراد کے سہولیات کا شدید فقدان ہے۔ اس تناظر میں کی جانے والی درجہ بندی میں پہلے دس ممالک کا تعلق مغربی یورپ، شمالی امریکا اور آسٹریلیا سے ہےجبکہ استثنائی طور پر جاپان نویں نمبر پر ہے۔ یہ انڈیکس ساٹھ سال سے زائد کی عمر کے افراد کو حاصل سہولیات کو دیکھتے ہوئے تیار کیا جاتا ہے۔,بدھ کے روز گلوبل ایج واچ انڈیکس جاری کیا گیا ہے۔ اس انڈیکس میں 96 ممالک کا جائزہ لیا گیا اور اس کے مطابق ناروے بوڑھے افراد کے لیے بہترین ملک ہے۔
قندوز کے گورنر محمد عمر کے مطابق افغان فوجیوں اور خصوصی امریکی دستوں نے ضلع آرچی میں جمعے کی شب مشترکہ کارروائیوں میں 14 طالبان کو ہلاک کیا۔ محمد عمر کے مطابق ان کارروائیوں میں چار مشتبہ طالبان کو گرفتار بھی کیا گیا۔ محمد عمر نے بتایا کہ ایک دوسرے ضلح امام صاحب میں جمعہ کے روز سیکیورٹی فورسز اور طالبان عسکریت پسندوں کے درمیان ہونے والی جھڑپوں میں تین افغان فوجی اور تین عسکریت پسند ہلاک ہوئے۔ افغانستان کے شمال میں گزشتہ کچھ عرصے سے پرتشدد واقعات میں اضافہ دیکھنے میں آیا ہے۔ گزشتہ تین برسوں میں سب سے زیادہ پرامن سمجھے جانے والے صوبہ قندوز میں گزشتہ کچھ عرصہ میں سات جرمن فوجی ہلاک جبکہ ایک درجن شدید زخمی ہوئے۔ مبصرین کا خیال ہے کہ پاکستانی قبائلی علاقوں میں فوجی آپریشن اور مشرقی و جنوب مشرقی افغانستان میں نیٹو دستوں کی کارروائیوں میں اضافے کے باعث طالبان عسکریت پسند اب نسبتا کم شورش زدہ علاقوں قندوز اور بگرام کا رخ کر رہے ہیں۔ شمالی افغانستان میں 4500 جرمن فوجی خدمات سرانجام دے رہے ہیں جبکہ مزید 500 فوجی اگلے چند ماہ میں وہاں روانہ کئے جارہے ہیں۔ قندوز کے گورنر محمد عمر کے مطابق چارگڑھ اور آرچی کے علاقوں میں 1200 امریکی فوجی متعین کئے جا رہے ہیں۔ عمر نے یہ بھی بتایا کہ اگلے چند ماہ میں شمالی افغانستان میں امریکی فوجیوں کی تعداد میں میں تین ہزار کا اضافہ ہو گا اور شمالی صوبے بلخ میں امریکی فوج ایک اڈہ بھی قائم کرے گی۔,شمالی افغان صوبے قندوز میں امریکی افواج اور افغان سیکیورٹی فورسز نے طالبان کے ساتھ مختلف جھڑپوں میں 29 طالبان ہلاک کر دیے ہیں۔ صوبائی گورنر نے ان جھڑپوں اور ہلاکتوں کے حوالے سے تفصیلات جاری کیں۔
'پرشین وائلڈ لائف ہیریٹج فاؤنڈیشن' کے ایک آٹھ رکنی گروہ کو جنوری 2018ء میں گرفتار کیا گیا تھا۔ ان کی گرفتاری کی دنیا بھر کے سائنسدانوں اور ماحولیاتی کارکنوں نے مذمت کی تھی۔ اس فاؤنڈیشن کے مینیجنگ ڈائریکٹر کاؤس سید امامی جو کہ ایران کے ساتھ کینیڈا کی شہریت بھی رکھتے ہیں کو بھی حراست میں لیا گیا تھا لیکن بعد میں عدلیہ کا کہنا تھا کہ انہوں نے جیل میں خود کشی کر لی۔ ان کے خاندان نے ان کی ہلاکت کی تحقیقات کرنے کا مطالبہ کیا تھا جو اب تک پورا نہیں ہو سکا۔ ایران کی انقلابی عدالت نے نیلوفر بیانی اور مراد تاہباز کو دس سال قید کی سزا سنائی، طاہر غدیریان اور ہومان جوکار کو آٹھ سال اور عامر حسین خالقی اور سپیدے کوہ پیا کو چھ چھ سال کی سزا سنائی۔ اس گروہ کو سب سے پہلے پاسداران انقلاب کے خفیہ ادارے کے اہلکاروں نے گرفتار کیا تھا۔ ان پر الزام عائد کیا گیا تھا کہ یہ جنگلی حیات کو تحفظ فراہم کرنے والے بن کر دوسرے ممالک کی فوج کے لیے جاسوسی کر رہے تھے۔ قدرتی حیات کے یہ ماہرین بقاء کے خطرے سے دوچار جانوروں، خاص کر ایرانی اور ایشائی چیتے کو تحفظ فراہم کرنے کی مہم کے دوران کیمروں کا استعمال کر رہے تھے۔ ان افراد کے خلاف 'زمین پز کرپشن‘ کرنے کا الزام لگایا گیا تھا جس کی سزا موت ہے لیکن بعد میں یہ الزامات واپس لے لیا گیا تھا۔ انسانی حقوق کی تنظیم ایمنسٹی انٹرنیشنل کا کہنا ہے کہ ایسے شواہد موجود ہیں کہ ان افراد کو تشدد اور غیر اخلاقی رویے کا سامنا کرنا پڑا تاکہ یہ اپنے پر لگائے گئے الزامات کو قبول کر لیں۔ ب ج، ع ق,ایران کی ایک انقلابی عدالت نے جنگلی حیات کو تحفظ فراہم کرنے والے چھ افراد کو جاسوسی کرنے کے جرم میں چھ سے دس سال کی سزا سنائی ہے۔
پاکستان اور بھارت کے مابین خارجہ سیکریٹری سطح کے مذاکرات کے اگلے دور سے قبل یہ معاملہ ایک نیا تنازعہ بن کر ابھر رہا ہے۔ سفارتی ذرائع کا البتہ کہنا ہے کہ اس کا اثر خارجہ سیکریٹری سطح کے مذاکرات پر نہیں پڑے گا۔ یہ مذاکرات 23 اور 24 جون کو اسلام آباد میں ہوں گے۔ پاکستانی دفتر خارجہ کی ترجمان کی جانب سے جاری کردہ بیان میں کہا گیا کہ بھارتی بحریہ کے جہاز Godavari نے نا صرف بدر کی امدادی سرگرمیوں کو متاثر کیا بلکہ خطرناک انداز بھی اختیار کیا۔ بھارتی ذرائع نے جہاز کے مالک کے حوالے سے بتایا کہ انہوں نے بھارتی بحریہ سے متعدد بار مدد کی درخواست کی مگر ان کی جانب سے یہ مشورہ دیا گیا کہ نیٹو سے رابطہ کیا جائے اگر ان کے جنگی بحری جہاز اس علاقے میں ہوں گے تو مدد کو پہنچ جائیں گے۔ اس کے برعکس تاوان کے ادائیگی کے بعد پاکستانی بحریہ کے جہاز پی این ایس بدر نے قزاقوں کے ہاتھوں دوبارہ یرغمال بنائے جانے کے خطرے کے پیش نظر فوری طور پر سوئز کے پاس پہنچ کر اسے اپنی نگرانی میں اومان کی جانب گامزن کیا۔,اسلام آباد حکومت نے بھارتی جنگی بحری جہاز کے پاکستانی بحریہ کے جہاز سے ٹکرانے پر نئی دہلی سے باضابطہ طور پر احتجاج کیا ہے۔
'نونومبر 1989ء جرمنی کی جدید تاریخ کا خوش قسمت ترین اور سب سے زیادہ پر مسرت دن ہے۔ آج سے 20 برس پہلے دیوار برلن کے گرنے سے جرمنی کا دوبارہ اتحاد ممکن ہو سکا۔ اس دن نے بہت سے جرمن باشندوں کی تقدیر بدل کر رکھ دی۔ میری اپنی زندگی کو بھی اس روز نے یکثر تبدیل کررکھ دیا۔ مجھے اچھی طرح یاد ہے کہ نو نومبر 1989ء کی شام جب میں اکیڈمی آف سائنسز، جہاں میں اس وقت کام کیا کرتی تھی، سے واپس گھر آئی تو ٹیلی ویژن پر یہ اعلان کیا جا رہا تھا کہ جلد ہی منقسم جرمنی کے درمیان پائی جانے والی سرحد کھول دی جائے گی۔ پہلے تو میری سمجھ میں نہیں آیا کہ اس کا مطلب کیا ہے، میں نے فوراً اپنی ماں کو فون کیا اور انہیں یہ اطلاع دی۔ چند گھنٹوں کے اندر بورن ہولمر اسٹراسے یا سڑک پر ہزاروں جرمن باشندے اس پر واقع پل کو عبور کر کے مغربی برلن میں قدم رکھنے کےلئے جمع تھے۔ میں بھی اس ہجوم میں شامل ہو کرسب کی خوشیوں میں شریک ہو گئی۔ آج اس خوش گوار واقعے کی بیسویں سالگرہ کے موقع پر میں نے بہت سے انسانوں کو مدعو کر رکھا ہے میرے ساتھ مل کر ایک بار پھر بورن ہالمر اسٹریٹ پر بنے اس پل پر سے چلتے ہوئے برلن میں داخل ہونے کے اس علامتی مارچ میں حصہ لینے کے لئے۔' ,جرمنی میں آج جشن آزادی اور دیوارِ برلن کے انہدام کی بیسویں سالگرہ منائی جا رہی ہے۔ بیس برس قبل مشرقی اور مغربی جرمنی کو تقسیم کرنے والی دیوار منہدم کر دی گئی تھی۔
مقامی انتظامیہ کے مطابق یہ بدقسمت وین مظفرآباد کے قریبی علاقے گڑھی دوپٹہ میں دریائے جہلم میں جا گری۔ یہ علاقہ پاکستانی دارالحکومت اسلام آباد سے 140 کلومیٹر شمال مشرق کی طرف واقع ہے۔ مظفرآباد کے سینیئر پولیس افسر غلام اکبر کے مطابق بس کے ڈرائیور اور چار بچوں کو زندہ بچا لیا گیا ہے۔ تاہم خدشہ ہے کہ باقی تمام بچے اس حادثے میں جاں بحق ہو گئے ہیں۔ امدادی کارکن حادثے کی جگہ سے اب تک 15 لاشیں نکال چکے ہیں۔ پولیس کے مطابق بظاہر یہ حادثہ بس کا سٹیئرنگ جام ہو جانے کی وجہ سے پیش آیا، جسے ایک 40 سالہ ڈرائیور چلا رہا تھا۔ حادثے کے وقت بس دریائے جہلم کے کنارے ایک پہاڑی سڑک پر سفر کر رہی تھی۔ امدادی ادارے دریا میں گری اس سکول وین کو نکالنے کی کوشش کے علاوہ ابھی تک لاپتہ بچوں کی تلاش کا کام بھی جاری رکھے ہوئے ہیں۔ رپورٹ: افسر اعوان ادارت: مقبول ملک,پاکستان کے زیرانتظام جموں کشمیرکے دارالحکومت مظفرآباد میں منگل کے روز ایک سکول وین دریا میں جا گری جس میں 30 بچے سوار تھے۔
 اتوار کے روز اپنے ایک بیان میں سینئر برطانوی فوجی کمانڈر جیمز بُکنل نے کہا، ’ہم پر ان افراد کا قرض ہے، جو اپنی خدمات کا نتیجہ دیکھے بغیر ہی دنیا سے رخصت ہو گئے۔ اپنے خون کے گراں قدر سرمایے کی فراہمی کے بعد ہم مزید پرعزم ہیں۔ اگر میں ایسا سوچتا کہ ہم کچھ بہتر نہیں کر پائیں گے، تو میرے خیالات کچھ اور ہوتے، مگر مجھے یقین ہے کہ ہم وہاں (افغانستان میں) بہتری لا سکتے ہیں۔‘ افغانستان سے غیر ملکی افواج کا انخلا سن 2014 کے اواخر تک مکمل ہونا طے ہے  انہوں نے کہا کہ طالبان کی طاقت کے مراکز سمجھے جانے والے علاقے بھی اب طالبان کے کنٹرول میں نہیں ہیں۔ ’’ایسے کوئی شواہد نہیں ہیں، جن سے یہ ظاہر ہو کہ طالبان افغانستان کے کسی علاقے پر مکمل کنٹرول رکھتے ہیں یا کسی علاقے میں ان کے اثر رسوخ میں اضافہ ہو رہا ہے۔‘‘  انہوں نے کہا کہ افغانستان کا دارالحکومت کابل پاکستان کے تجارتی شہر کراچی سے زیادہ محفوظ ہے۔ گزشتہ برس امریکہ کی جانب سے 30 ہزار اضافی فوجیوں کی تعیناتی کے اقدامات کی نگرانی کرنے والے جنرل بُکنل نے مغربی دنیا سے اپیل کی کہ وہ اگلے دو برسوں میں افغانستان سے اپنی فوجوں کے انخلاء کے منصوبے پر مل جل کر کام کریں۔ انہوں نے کہا کہ طالبان کے خلاف جنگ کا آغاز مغربی دنیا نے اتحاد کے ساتھ کیا تھا، اب ویسے ہی وہاں سے فوجیوں کا انخلاء بھی باہمی مشاورت اور اتفاق رائے سے ہونا چاہیے۔,برطانوی فوج کے لیفٹیننٹ جنرل جیمز بُکنل نے کہا ہے کہ افغانستان سے غیر ملکی فوجیوں کا غیرمنظم انخلاء وہاں اب تک دی جانے والی قربانیوں کو رائیگانی میں تبدیل کر سکتا ہے، اس لیے فوجی انخلاء ایک مربوط انداز میں ہونا چاہیے۔
