english,urdu
"Or do you feel secure that He will not send you back into it a second time, and loose against you a hurricane of wind and drown you for your thanklessness, then you will find no prosecutor for you against Us?",اور کیا تمہیں اِس کا کوئی اندیشہ نہیں کہ خدا پھر کسی وقت سمندر میں تم کو لے جائے اور تمہاری ناشکری کے بدلے تم پر سخت طوفانی ہوا بھیج کر تمہیں غرق کر دے اور تم کو ایسا کوئی نہ ملے جو اُس سے تمہارے اِس انجام کی پوچھ گچھ کرسکے؟
"If two groups of the faithful fight one another, make peace between them. But if one party of them aggresses against the other, fight the one which aggresses until it returns to Allah’s ordinance. Then, if it returns, make peace between them fairly, and do justice. Indeed Allah loves the just.",اور اگر مسلمانوں کے دو گروہ آپس میں لڑیں تو ان میں صلح کراؤ پھر اگر ایک دوسرے پر زیادتی کرے تو اس زیادتی والے سے لڑو یہاں تک کہ وہ اللہ کے حکم کی طرف پلٹ آئے، پھر اگر پلٹ آئے تو انصاف کے ساتھ ان میں اصلاح کردو اور عدل کرو، بیشک عدل والے اللہ کو پیارے ہیں،
"My signs were recited to you, but upon your heels you withdrew,",بیشک میری آیتیں تم پر پڑھی جاتی تھیں تو تم اپنی ایڑیوں کے بل الٹے پلٹتے تھے
"And those to whom knowledge has come see that the (Revelation) sent down to thee from thy Lord - that is the Truth, and that it guides to the Path of the Exalted (in might), Worthy of all praise.",اور جنہیں علم والا وہ جانتے ہیں کہ جو کچھ تمہاری طرف تمہارے رب کے پاس سے اترا وہی حق ہے اور عزت والے سب خوبیوں سراہے کی راہ بتاتا ہے،
He's squeezing the bear.,انہوں نے ریچھ نچوڑ ہے.
"Surely they have greater fear of you in their hearts than of God, because they do not understand.",(مسلمانو!) تمہاری ہیبت ان لوگوں کے دلوں میں خدا سے بھی بڑھ کر ہے۔ یہ اس لئے کہ یہ سمجھ نہیں رکھتے
CELLPHONES AREN'T WORKING.,سیلفون کام نہیں کر رہے.
"If you die or are slain, you will surely be mustered toward Allah.",اور اگر تم مرجاؤ یا مارے جاؤ خدا کے حضور میں ضرور اکھٹے کئے جاؤ گے
"And most of all, the hundreds, if not thousands of Cubans, imprisoned in the Castro gulag because of their continued faith in freedom, their fellow Cubans and in God.",اور سب سے بڑھ کر ، سینکڑوں ، اگر کیوبنز کی تعداد ہزاروں میں نہیں ہے تو، جو کہ آزادی، ان کے ساتھی کیبوبنزاور خدا پر مسلسل ایمان کی وجہ سے کاسترو گولگ میں قید ہیں۔
"They will surely perish who kill their offspring in ignorance foolhardily, and forbid the food that God has given them by fabricating lies against God. Misguided are they surely, and will never come to guidance.",تحقیق خسارے میں پڑے وہ لوگ جنہوں نے اپنی اولاد کو جہالت اور نادانی کی بنا پر قتل کیا اور الله پر بہتان باندھ کر اس رزق کو حرام کر لیا جو الله نے انہیں دیا تھا بے شک وہ گمراہ ہوئے اور سیدھی راہ پر نہ آئے
"When Moses had fulfilled the term and was journeying with his family, he perceived a fire in the direction of the Mount (Sinai). He said to his family: ""Wait here; I have observed a fire. Maybe I will bring to you some news or a brand of fire from there that you may warm yourselves.""",پھر جب موسٰی (علیہ السلام) نے مقررہ مدت پوری کر لی اور اپنی اہلیہ کو لے کر چلے (تو) انہوں نے طور کی جانب سے ایک آگ دیکھی (وہ شعلۂ حسنِ مطلق تھا جس کی طرف آپ کی طبیعت مانوس ہوگئی)، انہوں نے اپنی اہلیہ سے فرمایا: تم (یہیں) ٹھہرو میں نے آگ دیکھی ہے۔ شاید میں تمہارے لئے اس (آگ) سے کچھ (اُس کی) خبر لاؤں (جس کی تلاش میں مدتوں سے سرگرداں ہوں) یا آتشِ (سوزاں) کی کوئی چنگاری (لادوں) تاکہ تم (بھی) تپ اٹھو،
"to whom no warner had been sent that perhaps they might take heed, and that, on experiencing afflictions because of their own deeds, they may not say, ""Lord, would that You had sent to us a Messenger so that we could follow Your revelations and become believers"".","(اور یہ ہم نے اس لیے کیا کہ) کہیں ایسا نہ ہو کہ اُن کے اپنے کیے کرتوتوں کی بدولت کوئی مصیبت جب اُن پر آئے تو وہ کہیں ""اے پروردگار، تُو نے کیوں نہ ہماری طرف کوئی رسول بھیجا کہ ہم تیری آیات کی پیروی کرتے اور اہلِ ایمان میں سے ہوتے"""
- And this apple.. - Big Apple. Big Apple.,اور یہ سیب۔۔۔- بڑا سیب۔ بگ ایپل۔-
"Take of their wealth a freewill offering, to purify them and to cleanse them thereby, and pray for them; thy prayers are a comfort for them; God is All-hearing, All-knowing.",اے نبیؐ، تم ان کے اموال میں سے صدقہ لے کر انہیں پاک کرو اور (نیکی کی راہ میں) انہیں بڑھاؤ، اور ان کے حق میں دعائے رحمت کرو کیونکہ تمہاری دعا ان کے لیے وجہ تسکین ہوگی، اللہ سب کچھ سنتا اور جانتا ہے
